Name,Course_title,Course_name,Session,Class_Number,Career,Units,Grading,Description,Enrollment_Requirements,Add_Consent,Instructor,Meets,Dates,Room,Instruction_Mode,Campus,Location,Components,Status
Section: D1LB-LAB (16877) Session: Regular Academic Session Days/Times: Fr 2:00pm - 3:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Kok-Ming Leung Status: Open,CS-UY 1133 - D1LB,Engineering Problem Solving and Programming,Regular Academic Session,16877,Undergraduate,0 units,Ugrd Tandon Graded,"This introductory course in engineering problem solving and computer programming is for all undergraduate engineering students without prior programming experience in any language. The course covers the fundamentals of computer programming and its underlying principles using the MATLAB programming language. Concepts and methods are illustrated by examples from various engineering disciplines. Useful numerical techniques and their applications to real-world problems in science and engineering are also discussed.  ABET competencies: a, e, k. | Corequisite: EX-UY 1.",None,Corequisite: EX-UY  1.,K Ming Leung,Fr 2:00PM - 3:20PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 202 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: BK03-GUI (17496) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Torsten Suel Status: Open,CS-UY 410X - BK03,UNDERGRADUATE GUIDED STUDIES IN COMPUTER SCIENCE,Regular Academic Session,17496,Undergraduate,1 - 4 units,Ugrd Tandon Graded,"Students work on an individual basis under the supervision of a full-time faculty member in the department. With permission of the department, such students may substitute two semesters of this course for Software Engineering and Design Project requirements.| Prerequisite: Permission of the instructor and the department.",None,Department Consent Required,Torsten Suel,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Guided Studies Required,Open
Section: A-LEC (17299) Session: Regular Academic Session Days/Times: We 12:25pm - 2:55pm Dates: 01/27/2020 - 05/11/2020 Instructor: Carmine Thomas Guida Status: Closed This is a combined section class,CS-UY 4553 - A,Game Design,Regular Academic Session,17299,Undergraduate,3 units,Ugrd Tandon Graded,"This course is about experimental game design. Design in this context pertains to every aspect of the game, and these can be broadly characterized as the game system, control, visuals, audio, and resulting theme. We will explore these aspects through the creation of a few very focused game prototypes using a variety of contemporary game engines and frameworks, high-level programming languages, and physical materials. This will allow us to obtain a better understanding of what makes games appealing, and how game mechanics, systems, and a variety of player experiences can be designed and iteratively improved by means of rapid prototyping and play-testing. The course combines the technology, design, and philosophy in support of game creation, as well as the real-world implementation and design challenges faced by practicing game designers. Students will learn design guidelines and principles by which games can be conceived, prototyped, and fully developed within a one-semester course, and will create a game from start to finish. The course is a lot of (team)work, but itâ€™s also a lot of fun. Programming skills are helpful, but not a hard requirement. Artistic skills, or a willingness to learn them are a plus. | Prerequisites: CS-UY 3113, CS-UY 4533, or CS-UY 4613 (C- or better) for CS students; OART-UT 1600 and OART-UT 1605 for Game Center MFA students. Instructor permission required otherwise.",None,"CS-UY 4553 Prerequisites: CS-UY 3113, CS-UY 4533, or CS-UY 4613 (C- or better) for CS students; OART-UT 1600 and OART-UT 1605 for Game Center MFA students. Instructor permission required otherwise.",Carmine Guida,We 12:25PM - 2:55PM,01/27/2020 - 05/11/2020,3 MetroTechCtr Rm 811 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: BK07-LEC (17396) Topic: INFORMATION VISUALIZATION Session: Regular Academic Session Days/Times: Mo 12:25pm - 2:55pm Dates: 01/27/2020 - 05/11/2020 Instructor: Enrico Bertini Status: Closed This is a combined section class,CS-UY 3943 - BK07,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,17396,Undergraduate,3 units,Ugrd Tandon Graded,INFORMATION VISUALIZATION,None,This three-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,Enrico Bertini,Mo 12:25PM - 2:55PM,01/27/2020 - 05/11/2020,"Dibner Building, Rm LC400 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: LB12-LAB (17445) Session: Regular Academic Session Days/Times: Fr 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Open,CS-UY 1114 - LB12,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,17445,Undergraduate,0 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Corequisite: EX-UY 1,Peter DePasquale,Fr 2:00PM - 4:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 207 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: A2RC-RCT (21500) Session: Regular Academic Session Days/Times: Fr 2:30pm - 4:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Anam Waheed Status: Open,CS-UY 2214 - A2RC,COMPUTER ARCHITECTURE AND ORGANIZATION,Regular Academic Session,21500,Undergraduate,0 units,Ugrd Tandon Graded,"This course covers a top-down approach to computer design. Topics: Computer architecture, introduction to assembly language programming and machine language set design. Computer organization, logical modules; CPU, memory and I/O units. Instruction cycles, the datapath and control unit. Hardwiring and microprogramming. The memory subsystem and timing. I/O interface, interrupts, programmed I/O and DMA. Introduction to pipelining and memory hierarchies. Fundamentals of computer networks. | Prerequisite for Brooklyn Engineering Students: CS-UY 2204 (C- or better) for computer engineering majors; (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314 for computer science majors. Students who are neither computer engineering majors nor computer science majors must take either CS-UY 2204 (C- or better) OR (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314.| Prerequisite for Abu Dhabi Students: ENGR-AD 121. | Prerequisites for Shanghai Students: CSCI-SHU 2314 and CSCI-SHU 210 (C- or better) or CENG-SHU 201. ABET competencies: a, c, e.",None,Prerequisites: CS-UY 2204 (C- or better) for Comp Eng majors; (CS-UY 2134 or 1134) and (CS-UY 2124 or 1124) (C- or better); and MA-UY 2314 for Comp Sci majors.| Alternative prereq for Abu Dhabi and Shanghai students; refer to course description.,Anam Waheed,Fr 2:30PM - 4:20PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 317 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Recitation Required, Lecture Required",Open
Section: BK10-RSC (23353) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,CS-UY 420X - BK10,UNDERGRADUATE RESEARCH IN COMPUTER SCIENCE,Regular Academic Session,23353,Undergraduate,2 - 4 units,Ugrd Tandon Graded,"The student conducts research under the supervision of a faculty member, possibly leading to results publishable in the computer science literature. A substantial commitment to this work is expected. The research project may be one or two semesters, to be determined in consultation with the faculty supervisor. Students must submit written and/or oral reports at the conclusion of the project. Students who are interested in taking this course should speak to faculty members well in advance about research opportunities and background needed. | Prerequisite: permission of instructor",None,Department Consent Required,Staff,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Research Required,Open
Section: LEC-LEC (16695) Session: Regular Academic Session Days/Times: MoWe 10:30am - 11:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Kok-Ming Leung Status: Open,CS-UY 1133 - LEC,Engineering Problem Solving and Programming,Regular Academic Session,16695,Undergraduate,3 units,Ugrd Tandon Graded,"This introductory course in engineering problem solving and computer programming is for all undergraduate engineering students without prior programming experience in any language. The course covers the fundamentals of computer programming and its underlying principles using the MATLAB programming language. Concepts and methods are illustrated by examples from various engineering disciplines. Useful numerical techniques and their applications to real-world problems in science and engineering are also discussed.  ABET competencies: a, e, k. | Corequisite: EX-UY 1.",None,Corequisite: EX-UY  1.,K Ming Leung,MoWe 10:30AM - 11:50AM,01/27/2020 - 05/11/2020,"370 Jay Street, Room 202 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: BK09-GUI (17523) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Brendan Dolan-Gavitt Status: Open,CS-UY 410X - BK09,UNDERGRADUATE GUIDED STUDIES IN COMPUTER SCIENCE,Regular Academic Session,17523,Undergraduate,1 - 4 units,Ugrd Tandon Graded,"Students work on an individual basis under the supervision of a full-time faculty member in the department. With permission of the department, such students may substitute two semesters of this course for Software Engineering and Design Project requirements.| Prerequisite: Permission of the instructor and the department.",None,Department Consent Required,Brendan Dolan-Gavitt,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Guided Studies Required,Open
Section: ALEC-LEC (16832) Session: Regular Academic Session Days/Times: MoWe 10:30am - 12:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Anam Waheed Status: Open,CS-UY 2214 - ALEC,COMPUTER ARCHITECTURE AND ORGANIZATION,Regular Academic Session,16832,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers a top-down approach to computer design. Topics: Computer architecture, introduction to assembly language programming and machine language set design. Computer organization, logical modules; CPU, memory and I/O units. Instruction cycles, the datapath and control unit. Hardwiring and microprogramming. The memory subsystem and timing. I/O interface, interrupts, programmed I/O and DMA. Introduction to pipelining and memory hierarchies. Fundamentals of computer networks. | Prerequisite for Brooklyn Engineering Students: CS-UY 2204 (C- or better) for computer engineering majors; (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314 for computer science majors. Students who are neither computer engineering majors nor computer science majors must take either CS-UY 2204 (C- or better) OR (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314.| Prerequisite for Abu Dhabi Students: ENGR-AD 121. | Prerequisites for Shanghai Students: CSCI-SHU 2314 and CSCI-SHU 210 (C- or better) or CENG-SHU 201. ABET competencies: a, c, e.",None,Prerequisites: CS-UY 2204 (C- or better) for Comp Eng majors; (CS-UY 2134 or 1134) and (CS-UY 2124 or 1124) (C- or better); and MA-UY 2314 for Comp Sci majors.| Alternative prereq for Abu Dhabi and Shanghai students; refer to course description.,Anam Waheed,MoWe 10:30AM - 12:20PM,01/27/2020 - 05/11/2020,3 MetroTechCtr Rm 9.011 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Recitation Required, Lecture Required",Open
Section: BK01-PRO (17087) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,CS-UY 394X - BK01,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,17087,Undergraduate,1 - 4 units,Ugrd Tandon Graded,This variable-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,None,Department Consent Required,Staff,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Project Required,Open
Section: INET-LEC (16826) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Carmine Thomas Guida Status: Closed,CS-UY 3113 - INET,INTRO TO GAME PROGRAMMING,Regular Academic Session,16826,Undergraduate,3 units,Ugrd Tandon Graded,"A programming intensive introduction to the creation of computer games. Using mostly two-dimensional sprite-based programming, we examine and experiment with animation, physics, artificial intelligence and audio. In addition, the course explores the mathematics of transformations (both 2D and 3D) and the ways they may be represented. | Prerequisite: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better).",None,CS-UY 3113 Prerequisite: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better),Carmine Guida,TBA,01/27/2020 - 05/11/2020,On-Line Loc: ePoly,Online,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: A-LEC (24035) Session: Regular Academic Session Days/Times: MoWe 10:30am - 12:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Jeffrey E Epstein Status: Open,CS-UY 3314 - A,Design and Implementation of Programming Languages,Regular Academic Session,24035,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers issues underlying the design of high-level programming languages, along with elements of the compiler technology used to translate those languages into executable code. Topics covered include formal description of language syntax, parsing, memory management, attributes of variables and their binding times, control and data-abstraction mechanisms and object-oriented language features. The focus is on imperative and object-oriented languages, with brief introduction to functional and logic-programming paradigms. Substantial programming projects are required. | Prerequisites: CS-UY 2134 (C- or better) or CS-UY 1134 (C- or better).",None,Prerequisites: CS-UY 2134 (C- or better) or CS-UY 1134 (C- or better).,Jeff Epstein,MoWe 10:30AM - 12:20PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 304 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
